sample,species,call_type,start,end,aug_method
BD060A_CH01_20240328_220014_16kHz_290_320.wav,Masked Owl,screech,9.0,12.36,original
BD060A_CH01_20240331_210000_16kHz_660_690.wav,Masked Owl,screech,19.96,23.96,original
BD060A_CH01_20240331_210000_16kHz_1020_1050.wav,Masked Owl,screech,16.06,18.13,original
CH07_20240703_180000_16kHz_1380_1410.wav,Masked Owl,screech,23.12,25.19,original
CH07_20240703_180000_16kHz_1810_1840.wav,Masked Owl,screech,18.65,20.72,original
CH07_20240706_220000_16kHz_2280_2310.wav,Masked Owl,screech,1.65,3.72,original
CH07_20240706_220000_16kHz_2910_2940.wav,Masked Owl,screech,25.21,27.28,original
CH07_20240706_220000_16kHz_2970_3000.wav,Masked Owl,screech,17.78,19.85,original
FO020B_20240619_010000_16kHz_2250_2280.wav,Masked Owl,screech,23.78,27.01,original
FO020B_20240619_030000_16kHz_330_360.wav,Masked Owl,screech,5.7,8.04,original
FO020B_20240619_030000_16kHz_330_360(1).wav,Masked Owl,screech,16.98,19.98,original
FO020B_20240619_030000_16kHz_390_420.wav,Masked Owl,screech,1.87,5.86,original
FO020B_20240619_230000_16kHz_3510_3540.wav,Masked Owl,screech,4.31,7.46,original
FO020B_20240621_200000_16kHz_2640_2670.wav,Masked Owl,screech,23.96,28.03,original
FO020B_20240706_200000_16kHz_420_450.wav,Masked Owl,screech,15.88,21.05,original
FO020B_20240706_200000_16kHz_630_660.wav,Masked Owl,screech,15.94,20.72,original
FO020B_20240706_200000_16kHz_870_900.wav,Masked Owl,screech,6.66,12.06,original
FO020B_20240706_200000_16kHz_1080_1110.wav,Masked Owl,screech,7.83,13.62,original
FO020B_20240706_200000_16kHz_1200_1230.wav,Masked Owl,screech,17.57,21.67,original
FO020B_20240706_200000_16kHz_1290_1320.wav,Masked Owl,screech,23.14,26.12,original
FO020B_20240706_200000_16kHz_1320_1350.wav,Masked Owl,screech,12.16,16.24,original
FO020B_20240706_200000_16kHz_1320_1350(1).wav,Masked Owl,screech,22.12,25.93,original
FO020B_20240706_200000_16kHz_1440_1470.wav,Masked Owl,screech,13.28,17.2,original
FO020B_20240706_200000_16kHz_1870_1900.wav,Masked Owl,screech,19.08,22.94,original
FO020B_20240706_200000_16kHz_2010_2040.wav,Masked Owl,screech,16.75,21.35,original
FO020B_20240706_200000_16kHz_2490_2520.wav,Masked Owl,screech,20.43,23.94,original
FO020B_20240706_200000_16kHz_3270_3300.wav,Masked Owl,screech,18.39,23.65,original
FO020B_20240706_210000_16kHz_1650_1680.wav,Masked Owl,screech,13.03,17.26,original
FO020B_20240706_210000_16kHz_1870_1900.wav,Masked Owl,screech,16.37,21.27,original
FO020B_20240706_210000_16kHz_2400_2430.wav,Masked Owl,screech,7.12,12.16,original
FO020B_20240706_210000_16kHz_2940_2970.wav,Masked Owl,screech,0.88,5.27,original
FO020B_20240706_210000_16kHz_3270_3300.wav,Masked Owl,screech,16.9,21.99,original
FO020B_20240706_220000_16kHz_180_210.wav,Masked Owl,screech,11.89,16.17,original
FO020B_20240706_220000_16kHz_780_810.wav,Masked Owl,screech,16.78,21.44,original
FO020B_20240706_220000_16kHz_1290_1320.wav,Masked Owl,screech,21.45,26.23,original
FO020B_20240706_220000_16kHz_1560_1590.wav,Masked Owl,screech,22.12,27.2,original
FO020B_20240706_220000_16kHz_1860_1890.wav,Masked Owl,screech,4.32,8.94,original
FO020B_20240706_220000_16kHz_2040_2070.wav,Masked Owl,screech,3.8,8.41,original
FO020B_20240706_220000_16kHz_2190_2220.wav,Masked Owl,screech,12.51,16.07,original
FO020B_20240706_220000_16kHz_2310_2340.wav,Masked Owl,screech,2.93,6.27,original
FO025D_20240617_200000_16kHz_1530_1560.wav,Masked Owl,screech,17.28,20.59,original
FO025D_20240617_200000_16kHz_2100_2130.wav,Masked Owl,screech,18.46,21.87,original
FO025D_20240617_200000_16kHz_3450_3480.wav,Masked Owl,screech,1.13,4.15,original
FO025D_20240620_030000_16kHz_540_570.wav,Masked Owl,screech,5.34,26.46,original
FO025D_20240625_010000_16kHz_2970_3000.wav,Masked Owl,screech,20.58,27.12,original
FO025D_20240625_010000_16kHz_2910_2940.wav,Masked Owl,screech,14.9,25.1,original
FO025D_20240626_030000_16kHz_90_120.wav,Masked Owl,screech,0.62,4.01,original
FO025D_20240626_030000_16kHz_90_120(1).wav,Masked Owl,screech,10.7,24.74,original
FO025D_20240628_000000_16kHz_1170_1200.wav,Masked Owl,screech,12.46,20.17,original
FO025D_20240630_210000_16kHz_3360_3390.wav,Masked Owl,screech,21.68,24.77,original
FO025D_20240630_210000_16kHz_3450_3480.wav,Masked Owl,screech,6.04,8.67,original
FO025D_20240707_000000_16kHz_750_780.wav,Masked Owl,screech,6.79,9.59,original
FO025D_CH08_20240624_040000_16kHz_1620_1650.wav,Masked Owl,screech,11.23,13.74,original
FO025D_CH09_20240617_200000_16kHz_3450_3480.wav,Masked Owl,screech,2.4,5.21,original
FR002A_00044660_20250403T050000_16kHz_590_620.wav,Masked Owl,screech,25.84,29.9,original
FR002A_00044660_20250403T050000_16kHz_620_650.wav,Masked Owl,screech,8.7,11.9,original
FR002A_00044660_20250403T050000_16kHz_690_720.wav,Masked Owl,screech,23.81,27.17,original
FR002A_00044660_20250403T050000_16kHz_810_840.wav,Masked Owl,screech,27.06,30.05,original
FR002A_00044660_20250403T050000_16kHz_840_870.wav,Masked Owl,screech,20.28,23.74,original
FR002A_00044660_20250403T050000_16kHz_840_870(1).wav,Masked Owl,screech,26.06,28.99,original
FR002A_00044660_20250403T050000_16kHz_960_990.wav,Masked Owl,screech,12.06,15.91,original
FR002A_00044660_20250403T050000_16kHz_1110_1140.wav,Masked Owl,screech,22.06,25.53,original
FR002A_00044660_20250403T050000_16kHz_1440_1470.wav,Masked Owl,screech,0.12,4.09,original
FR002A_00044660_20250403T050000_16kHz_1440_1470(1).wav,Masked Owl,screech,14.71,16.95,original
FR002A_00044660_20250403T050000_16kHz_2130_2160.wav,Masked Owl,screech,10.18,12.95,original
FR002A_00044660_20250403T050000_16kHz_3210_3240.wav,Masked Owl,screech,18.51,20.96,original
FR002A_00044660_20250403T050000_16kHz_3280_3310.wav,Masked Owl,screech,16.63,20.53,original
FR002A_00044660_20250403T050000_16kHz_3350_3380.wav,Masked Owl,screech,16.93,20.77,original
FR002A_00044660_20250403T050000_16kHz_3380_3410.wav,Masked Owl,screech,7.14,10.56,original
FR002A_00044660_20250403T050000_16kHz_3480_3510.wav,Masked Owl,screech,0.31,3.88,original
FR002A_00044660_20250403T050000_16kHz_3510_3540.wav,Masked Owl,screech,17.63,20.56,original
FR002A_00044660_20250403T050000_16kHz_750_780.wav,Masked Owl,screech,8.17,12.63,original
FR002A_00044660_20250403T050000_16kHz_930_960.wav,Masked Owl,screech,20.82,24.27,original
FR002A_00044660_20250403T050000_16kHz_1390_1420.wav,Masked Owl,screech,17.42,23.55,original
FR002A_00044660_20250403T050000_16kHz_2610_2640.wav,Masked Owl,screech,1.57,5.18,original
FR002A_00044660_20250403T050000_16kHz_2850_2880.wav,Masked Owl,chattering,8.37,18.05,original
FR002A_00044660_20250403T050000_16kHz_2820_2850.wav,Masked Owl,chattering,10.35,17.02,original
FR002A_00044660_20250403T050000_16kHz_2820_2850(1).wav,Masked Owl,screech,17.99,19.92,original
FR002A_00044660_20250403T050000_16kHz_3030_3060.wav,Masked Owl,screech,26.64,29.81,original
FR002A_00044660_20250403T050000_16kHz_3220_3250.wav,Masked Owl,screech,16.96,20.4,original
FR002A_00044660_20250403T050000_16kHz_1830_1860.wav,Masked Owl,chattering,3.19,9.59,original
FR002A_00044660_20250403T050000_16kHz_1790_1820.wav,Masked Owl,chattering,2.58,11.13,original
FR002A_00044660_20250403T050000_16kHz_1840_1870.wav,Masked Owl,chattering,18.79,25.08,original
FR002A_00044660_20250403T050000_16kHz_1940_1970.wav,Masked Owl,chattering,9.61,15.58,original
FR002A_00044660_20250403T050000_16kHz_2010_2040.wav,Masked Owl,chattering,11.25,19.05,original
FR002A_00044660_20250403T050000_16kHz_1530_1560.wav,Masked Owl,chattering,0.16,15.44,original
FR002A_00044660_20250403T050000_16kHz_1560_1590.wav,Masked Owl,chattering,21.06,26.76,original
FR002A_00044660_20250403T050000_16kHz_1590_1620.wav,Masked Owl,chattering,21.61,27.15,original
